date,total_spend
2023-03-03,348342369.82
2023-03-06,12096589.68
2023-03-10,339709420.2
2023-03-11,3706048.08
2023-03-13,12082568.4
2023-03-15,1181250.0
2023-03-16,88386568.19999999
2023-03-17,262582822.08
2023-03-20,12107375.28
2023-03-22,861235.2
2023-03-24,255042015.0
2023-03-27,12104139.6
2023-03-28,874271.16
2023-03-29,77803683.3
2023-03-30,104363947.92
2023-03-31,272063390.92
2023-04-01,10507468.44
2023-04-06,5201370.72
2023-04-07,251738979.16
2023-04-10,1837605.42
2023-04-11,2658480.0
2023-04-12,4562409.6
2023-04-14,224084498.88
2023-04-21,287985098.88
2023-04-23,79200.0
2023-04-24,165000.0
2023-04-25,378000.0
2023-04-27,-166997.31999999998
2023-04-28,331382369.14
2023-04-30,8213715.98
2023-05-01,11115714.64
2023-05-03,590042.88
2023-05-04,65021.03999999999
2023-05-05,265715204.56
2023-05-09,959360.0
2023-05-10,327726.0
2023-05-12,107137585.28
2023-05-17,1072438.92
2023-05-18,3802022.4000000004
2023-05-19,215238624.46
2023-05-22,968692.4
2023-05-24,563365.4400000001
2023-05-25,3146844.8
2023-05-26,203067889.20000002
2023-05-30,2647647.7600000002
2023-05-31,210388380.9
2023-06-01,322335234.72
2023-06-02,236186288.8
2023-06-06,20114.64
2023-06-07,1805760.0
2023-06-08,811430.3999999999
2023-06-09,257630205.35999998
2023-06-12,242000.0
2023-06-13,3635998.0
2023-06-14,14048.32
2023-06-15,1118928.8
2023-06-16,325002233.6
2023-06-20,188270.72
2023-06-21,190644.96
2023-06-22,1846539.2000000002
2023-06-23,254233334.95999998
2023-06-25,576752.0
2023-06-27,58188.240000000005
2023-06-28,1034594.8799999999
2023-06-29,1747328.0
2023-06-30,315799268.4
2023-07-01,19289160.0
2023-07-03,1557072.0
2023-07-05,77265.76
2023-07-07,314020896.64
2023-07-10,2421284.8
2023-07-11,433984.32
2023-07-12,1544892.8
2023-07-13,214528.16
2023-07-14,329585728.56
2023-07-17,2095104.0
2023-07-18,684950.64
2023-07-19,1133038.72
2023-07-21,332485059.28000003
2023-07-23,364292.72
2023-07-24,1590328.96
2023-07-25,528000.0
2023-07-26,1191044.8
2023-07-27,375867804.4
2023-07-28,347844341.68
2023-07-31,13125786.08
2023-08-01,21128096.0
2023-08-04,350048611.44
2023-08-08,454185317.52
2023-08-09,321390.95999999996
2023-08-11,638309819.84
2023-08-14,528000.0
2023-08-18,359888848.88
2023-08-20,3392048.0
2023-08-22,874406.72
2023-08-23,884400.0
2023-08-25,359472987.28
2023-08-26,3301619.2
2023-08-29,1055340.0
2023-08-30,517654.72000000003
2023-08-31,12398536.48
2023-09-01,415740936.16
2023-09-03,3410035.2
