date,total_population,total_spend,news_count,social_count,cluster
2023-09-08,1029522.0,394016432.64,0.0,0.0,1
2023-09-09,1029522.0,15325.439999999999,0.0,0.0,0
2023-09-12,1029522.0,6108599.04,0.0,0.0,0
2023-09-15,1029522.0,433680733.44,0.0,0.0,1
2023-09-16,1029522.0,478080.0,0.0,0.0,0
2023-09-17,1029522.0,4403774.4,0.0,0.0,0
2023-09-18,1029522.0,782498.88,0.0,0.0,0
2023-09-19,1029522.0,518284.80000000005,0.0,0.0,0
2023-09-20,1029522.0,318724.8,0.0,0.0,0
2023-09-21,1029522.0,95784.0,0.0,0.0,0
2023-09-22,1029522.0,466995995.52,0.0,0.0,1
2023-09-24,1029522.0,4659148.800000001,0.0,0.0,0
2023-09-26,1029522.0,96685.44,0.0,0.0,0
2023-09-27,1029522.0,1804280.6400000001,0.0,0.0,0
2023-09-28,1029522.0,1377712.32,0.0,0.0,0
2023-09-29,1029522.0,530240765.76,0.0,0.0,1
2023-09-30,1029522.0,6714713.28,0.0,0.0,0
2023-10-01,1029522.0,78916631.03999999,0.0,0.0,0
2023-10-02,1029522.0,746640.0,0.0,0.0,0
2023-10-03,1029522.0,981643.2,0.0,0.0,0
2023-10-04,1029522.0,1727834.88,0.0,0.0,0
2023-10-05,1029522.0,2934987.84,0.0,0.0,0
2023-10-06,1029522.0,1116830041.92,0.0,0.0,1
2023-10-08,1029522.0,5079014.4,0.0,0.0,0
2023-10-09,1029522.0,4586526.72,0.0,0.0,0
2023-10-10,1029522.0,4487679.36,0.0,0.0,0
2023-10-11,1029522.0,641133.12,0.0,0.0,0
2023-10-12,1029522.0,1055354.8800000001,0.0,0.0,0
2023-10-13,1029522.0,485284169.28000003,0.0,0.0,1
2023-10-15,1029522.0,4948711.68,0.0,0.0,0
2023-10-16,1029522.0,11579923.2,0.0,0.0,0
2023-10-18,1029522.0,1105075.2,0.0,0.0,0
2023-10-19,1029522.0,1043265.6,0.0,0.0,0
2023-10-20,1029522.0,557989726.08,0.0,0.0,1
2023-10-22,1029522.0,7744412.16,0.0,0.0,0
2023-10-23,1029522.0,664080255.36,0.0,0.0,1
2023-10-24,1029522.0,773827.2,0.0,0.0,0
2023-10-26,1029522.0,502248.96,0.0,0.0,0
2023-10-27,1029522.0,630805190.4,0.0,0.0,1
2023-10-28,1029522.0,992880.0,0.0,0.0,0
2023-10-29,1029522.0,7324008.959999999,0.0,0.0,0
2023-10-30,1029522.0,-1250567.0399999998,0.0,0.0,0
2023-10-31,1029522.0,12494401.92,0.0,0.0,0
2023-11-01,1029522.0,18914352.0,0.0,0.0,0
2023-11-02,1029522.0,745920.0,0.0,0.0,0
2023-11-03,1029522.0,610212731.52,0.0,0.0,1
2023-11-05,1029522.0,6908455.68,0.0,0.0,0
2023-11-06,1029522.0,367200.0,0.0,0.0,0
2023-11-07,1029522.0,1048732.8,0.0,0.0,0
2023-11-08,1029522.0,576000.0,0.0,0.0,0
2023-11-09,1029522.0,3903711.36,0.0,0.0,0
2023-11-10,1029522.0,601179157.44,0.0,0.0,1
2023-11-12,1029522.0,7511555.52,0.0,0.0,0
2023-11-14,1029522.0,576000.0,0.0,0.0,0
2023-11-15,1029522.0,1737477.12,0.0,0.0,0
2023-11-17,1029522.0,601962057.6,0.0,0.0,1
2023-11-19,1029522.0,8455896.959999999,0.0,0.0,0
2023-11-21,1029522.0,3214575.36,0.0,0.0,0
2023-11-22,1029522.0,2855771.52,0.0,0.0,0
2023-11-24,1029522.0,590363960.64,0.0,0.0,1
2023-11-26,1029522.0,6972433.92,0.0,0.0,0
2023-11-27,1029522.0,306240.0,0.0,0.0,0
2023-11-28,1029522.0,1090868.16,0.0,0.0,0
2023-11-29,1029522.0,3542787.84,0.0,0.0,0
2023-11-30,1029522.0,34114533.12,0.0,0.0,0
2023-12-01,1029522.0,720144454.08,0.0,0.0,1
2023-12-03,1029522.0,9892008.0,0.0,0.0,0
2023-12-04,1029522.0,4350535.68,0.0,0.0,0
2023-12-05,1029522.0,462644.16,0.0,0.0,0
2023-12-06,1029522.0,1536192.0,0.0,0.0,0
2023-12-07,1029522.0,2974640.64,0.0,0.0,0
2023-12-08,1029522.0,613384694.4,0.0,0.0,1
2023-12-09,1029522.0,91368.0,0.0,0.0,0
2023-12-10,1029522.0,9681198.72,0.0,0.0,0
2023-12-11,1029522.0,1208136386.8799999,0.0,0.0,1
2023-12-12,1029522.0,641280.0,0.0,0.0,0
2023-12-13,1029522.0,1924310.4,0.0,0.0,0
2023-12-14,1029522.0,1351679.04,0.0,0.0,0
2023-12-15,1029522.0,613710293.76,0.0,0.0,1
2023-12-17,1029522.0,9849361.92,0.0,0.0,0
2023-12-18,1029522.0,39552.0,0.0,0.0,0
2023-12-19,1029522.0,973095.36,0.0,0.0,0
2023-12-20,1029522.0,180349.44000000876,0.0,0.0,0
2023-12-21,1029522.0,5633791.68,0.0,0.0,0
2023-12-22,1029522.0,585988992.96,0.0,0.0,1
2023-12-24,1029522.0,9100145.28,0.0,0.0,0
2023-12-26,1029522.0,2573813.7600000002,0.0,0.0,0
2023-12-27,1029522.0,7193285.76,0.0,0.0,0
2023-12-28,1029522.0,241555.20000000112,0.0,0.0,0
2023-12-29,1029522.0,586340032.3199999,0.0,0.0,1
2023-12-30,1029522.0,307968.0,0.0,0.0,0
2023-12-31,1029522.0,102764925.12,0.0,0.0,0
2024-01-01,1029522.0,54622464.0,0.0,0.0,0
2024-01-02,1029522.0,677280.0,0.0,0.0,0
2024-01-03,1029522.0,633097841.28,0.0,0.0,1
2024-01-04,1029522.0,14569413.120000001,0.0,0.0,0
2024-01-05,1029522.0,603940248.0,0.0,0.0,1
2024-01-07,1029522.0,9020943.36,0.0,0.0,0
2024-01-09,1029522.0,153254.40000000002,0.0,0.0,0
2024-01-10,1029522.0,406121.27999999997,0.0,0.0,0
2024-01-12,1029522.0,604295625.6,0.0,0.0,1
2024-01-14,1029522.0,10896835.2,0.0,0.0,0
2024-01-16,1029522.0,6023093.76,0.0,0.0,0
2024-01-17,1029522.0,65133.12,0.0,0.0,0
2024-01-18,1029522.0,41070.72,0.0,0.0,0
2024-01-19,1029522.0,633846821.76,0.0,0.0,1
2024-01-21,1029522.0,10717662.72,0.0,0.0,0
2024-01-22,1029522.0,21012501.12,0.0,0.0,0
2024-01-23,1029522.0,29041889.28,0.0,0.0,0
2024-01-24,1029522.0,523134.72,0.0,0.0,0
2024-01-26,1029522.0,632910301.44,0.0,0.0,1
2024-01-28,1029522.0,11156478.72,0.0,0.0,0
2024-01-29,1029522.0,1701482.88,0.0,0.0,0
2024-01-30,1029522.0,837567.36,0.0,0.0,0
2024-01-31,1029522.0,88999863.36,0.0,0.0,0
2024-02-01,1029522.0,50567792.64,0.0,0.0,0
2024-02-02,1029522.0,697775660.16,0.0,0.0,1
2024-02-05,1029522.0,4751639.04,0.0,0.0,0
2024-02-07,1029522.0,1446808174.08,0.0,0.0,1
2024-02-08,1029522.0,690940.8,0.0,0.0,0
2024-02-09,1029522.0,615227598.72,0.0,0.0,1
2024-02-11,1029522.0,10896664.32,0.0,0.0,0
2024-02-12,1029522.0,80131516.80000001,0.0,0.0,0
2024-02-13,1029522.0,1759600.3199999998,0.0,0.0,0
2024-02-14,1029522.0,73406361.60000001,0.0,0.0,0
2024-02-16,1029522.0,783551050.56,0.0,0.0,1
2024-02-18,1029522.0,9476184.959999999,0.0,0.0,0
2024-02-19,1029522.0,3249279.36,0.0,0.0,0
2024-02-20,1029522.0,576000.0,0.0,0.0,0
2024-02-22,1029522.0,23259351.36,0.0,0.0,0
2024-02-23,1029522.0,814981707.84,0.0,0.0,1
2024-02-25,1029522.0,8695077.120000001,0.0,0.0,0
2024-02-26,1029522.0,216150680.64000002,0.0,0.0,0
2024-02-27,1029522.0,4272576.0,0.0,0.0,0
2024-02-28,1029522.0,304748.16000000003,0.0,0.0,0
2024-02-29,1029522.0,24990976.32,0.0,0.0,0
2024-03-01,1029522.0,582275128.32,0.0,0.0,1
2024-03-03,1029522.0,8848494.72,0.0,0.0,0
2024-03-04,1029522.0,299494.08,0.0,0.0,0
2024-03-07,1029522.0,402147.84,0.0,0.0,0
2024-03-08,1029522.0,564995157.12,0.0,0.0,1
2024-03-10,1029522.0,8427413.76,0.0,0.0,0
2024-03-13,1029522.0,576000.0,0.0,0.0,0
2024-03-14,1029522.0,63759.36,0.0,0.0,0
2024-03-15,1029522.0,566305371.84,0.0,0.0,1
2024-03-17,1029522.0,7637975.040000001,0.0,0.0,0
2024-03-18,1029522.0,7800071.999999999,0.0,0.0,0
2024-03-19,1029522.0,3863144.6399999997,0.0,0.0,0
2024-03-21,1029522.0,2114077.44,0.0,0.0,0
2024-03-22,1029522.0,529783871.04,0.0,0.0,1
2024-03-24,1029522.0,7461434.88,0.0,0.0,0
2024-03-25,1029522.0,80640.0,0.0,0.0,0
2024-03-26,1029522.0,434692124.15999997,0.0,0.0,1
2024-03-27,1029522.0,293889.6,0.0,0.0,0
2024-03-28,1029522.0,17635832.64,0.0,0.0,0
2024-03-29,1029522.0,550811126.4,0.0,0.0,1
2024-03-30,1029522.0,640128.0,0.0,0.0,0
2024-03-31,1029522.0,33458709.119999997,0.0,0.0,0
2024-04-01,1029522.0,214535592.0,0.0,0.0,0
2024-04-02,1029522.0,687578.88,0.0,0.0,0
2024-04-03,1029522.0,56446573.44,0.0,0.0,0
2024-04-04,1029522.0,14549491.200000001,0.0,0.0,0
2024-04-05,1029522.0,540233809.92,0.0,0.0,1
2024-04-07,1029522.0,7744880.64,0.0,0.0,0
2024-04-09,1029522.0,1329708303.3600001,0.0,0.0,1
2024-04-11,1029522.0,-280591.68,0.0,0.0,0
2024-04-12,1029522.0,524943335.04,0.0,0.0,1
2024-04-14,1029522.0,6796467.84,0.0,0.0,0
2024-04-16,1029522.0,576000.0,0.0,0.0,0
2024-04-17,1029522.0,57058695.36,0.0,0.0,0
2024-04-19,1029522.0,510174382.08,0.0,0.0,1
2024-04-21,1029522.0,4400136.96,0.0,0.0,0
2024-04-23,1029522.0,576000.0,0.0,0.0,0
2024-04-24,1029522.0,909003.84,0.0,0.0,0
2024-04-25,1029522.0,158941622.4,0.0,0.0,0
2024-04-26,1029522.0,467650725.12,0.0,0.0,1
2024-04-28,1029522.0,5344842.24,0.0,0.0,0
2024-04-30,1029522.0,30549786.240000002,0.0,0.0,0
2024-05-01,1029522.0,163953685.44,0.0,0.0,0
2024-05-02,1029522.0,735292.8,0.0,0.0,0
2024-05-03,1029522.0,446216356.8,0.0,0.0,1
2024-05-05,1029522.0,5131244.16,0.0,0.0,0
2024-05-07,1029522.0,755110.08,0.0,0.0,0
2024-05-08,1029522.0,895871617.92,0.0,0.0,1
2024-05-09,1029522.0,64207144.31999999,0.0,0.0,0
2024-05-10,1029522.0,597228463.68,0.0,0.0,1
2024-05-11,1029522.0,109408864.32000001,0.0,0.0,0
2024-05-12,1029522.0,4625856.0,0.0,0.0,0
2024-05-13,1029522.0,0.0,0.0,0.0,0
2024-05-14,1029522.0,1197120.0,0.0,0.0,0
2024-05-15,1029522.0,51201119.04,0.0,0.0,0
2024-05-16,1029522.0,100604.16,0.0,0.0,0
2024-05-17,1029522.0,428797414.08,0.0,0.0,1
2024-05-19,1029522.0,5290617.6,0.0,0.0,0
2024-05-20,1002454.0,0.0,0.0,0.0,0
2024-05-21,1002454.0,48004415.04,0.0,0.0,0
2024-05-23,1002454.0,122901.12,0.0,0.0,0
2024-05-24,1002454.0,389099630.40000004,0.0,0.0,1
2024-05-28,1002454.0,96732768.0,0.0,0.0,0
2024-05-29,1002454.0,47278642.56,0.0,0.0,0
2024-05-31,1002454.0,397864826.88,0.0,0.0,1
2024-06-01,1002454.0,1832448.0,0.0,0.0,0
2024-06-02,946174.0,0.0,0.0,0.0,0
2024-06-03,946174.0,775922385.6,0.0,0.0,1
2024-06-05,946174.0,43078684.8,0.0,0.0,0
2024-06-06,946174.0,493790.4,0.0,0.0,0
2024-06-07,946174.0,427142899.2,0.0,0.0,1
2024-06-10,946174.0,3919778.88,0.0,0.0,0
2024-06-12,946174.0,13563766.079999998,0.0,0.0,0
2024-06-13,946174.0,1348686.7200000286,0.0,0.0,0
2024-06-14,946174.0,375199581.12,0.0,0.0,1
2024-06-16,880916.0,0.0,0.0,0.0,0
2024-06-17,880916.0,493783938.23999995,0.0,0.0,1
2024-06-20,880916.0,29502.72,0.0,0.0,0
2024-06-21,880916.0,367569027.84000003,0.0,0.0,1
2024-06-24,880916.0,112325030.39999999,0.0,0.0,0
2024-06-25,880916.0,437539.20000000007,0.0,0.0,0
2024-06-26,880916.0,32957.76,0.0,0.0,0
2024-06-27,880916.0,172608.0,0.0,0.0,0
2024-06-28,880916.0,324873169.92,0.0,0.0,1
2024-06-30,807082.0,24512078.4,0.0,0.0,0
2024-07-01,807082.0,132751507.2,0.0,0.0,2
2024-07-02,807082.0,27894.72,0.0,0.0,0
2024-07-03,807082.0,87871841.28,0.0,0.0,2
2024-07-04,807082.0,414435.83999999997,0.0,0.0,0
2024-07-05,807082.0,319101399.36,0.0,0.0,1
2024-07-08,807082.0,39756902.400000006,0.0,0.0,0
2024-07-10,807082.0,2907676.8,0.0,0.0,0
2024-07-11,807082.0,25032356.16,0.0,0.0,0
2024-07-12,807082.0,344359560.0,0.0,0.0,1
2024-07-14,766346.0,0.0,0.0,0.0,2
2024-07-15,766346.0,519095353.92,0.0,0.0,1
2024-07-16,766346.0,39849.600000000006,0.0,0.0,2
2024-07-17,766346.0,34128864.0,0.0,0.0,2
2024-07-19,766346.0,298672879.68,0.0,0.0,2
2024-07-22,766346.0,75897175.67999999,0.0,0.0,2
2024-07-25,766346.0,31557663.360000014,0.0,0.0,2
2024-07-26,766346.0,293415348.48,0.0,0.0,2
2024-07-28,749462.0,0.0,0.0,0.0,2
2024-07-30,749462.0,1855353.5999999999,0.0,0.0,2
